recipe_id,ingredient_id
1,38
1,102
1,29
1,33
1,91
1,82
1,39
2,125
2,13
2,87
2,21
2,109
2,24
3,100
3,5
3,17
3,40
3,10
3,108
3,128
3,36
3,78
3,34
3,39
3,133
3,54
4,69
4,127
4,22
4,41
4,103
4,82
4,52
4,39
4,26
4,60
4,99
5,141
5,35
5,67
5,39
5,26
5,130
5,50
5,97
6,21
6,46
6,139
6,107
7,15
7,106
7,45
7,23
7,81
7,98
7,89
7,135
7,32
8,88
8,16
8,105
8,131
8,78
8,53
8,39
8,61
8,122
8,55
8,93
8,57
8,33
8,121
8,58
8,79
8,28
8,97
8,140
8,94
8,138
8,36
9,120
9,76
9,46
9,59
9,49
9,104
10,67
10,96
10,59
10,87
10,47
10,98
10,7
10,14
10,39
11,132
11,136
11,8
12,68
12,91
12,124
12,87
12,80
12,30
12,112
13,63
13,86
13,3
13,70
13,64
13,65
13,48
13,12
13,78
13,39
13,118
13,11
13,36
14,75
14,55
14,70
14,25
14,72
14,83
14,39
15,129
15,4
15,113
15,126
15,20
16,6
16,115
16,39
16,97
16,48
16,31
16,42
17,62
17,142
17,24
17,64
17,31
18,116
18,51
18,9
19,95
19,65
19,71
19,16
19,111
19,1
19,101
20,117
20,65
20,23
20,123
20,43
20,119
20,36
20,73
20,137
20,63
20,109
20,90
20,84
20,110
20,60
20,18
21,36
21,39
21,114
21,74
21,96
21,85
21,44
21,134
22,65
22,56
22,27
22,82
22,92
22,66
22,95
22,2
22,19
22,39
22,77
22,37
